lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
-0.79860455,3.3553355,8.839087,-0.22403483,0.82451534,0.24556783
-0.44027936,4.7742796,10.353744,-0.39202276,0.9431759,0.35063666
0.059820566,5.0937214,11.095519,0.03970624,0.64980793,0.27855456
-0.75553375,5.671588,11.562717,0.6403395,0.48792863,0.27259862
-1.3130615,6.48096,10.478768,1.1394165,0.16768251,0.805884
1.4249259,7.4267235,10.340583,1.2043208,-0.11804971,0.8564331
1.4985052,7.1012993,10.590633,1.2304354,-0.04841107,0.31703907
-0.44207397,5.3515477,10.510473,1.3170254,0.14538592,0.15790866
-1.5858432,4.3740797,10.387243,1.3878858,0.123242065,0.35262197
-1.0911272,3.3397822,10.260424,1.5549575,0.10598512,0.56169057
-0.20219351,3.1028929,9.213564,1.5335772,-0.3239113,0.42073345
0.3894319,2.993421,9.640084,1.3136657,-1.1322387,-0.049480084
0.44805604,1.7581264,10.4464655,0.84513205,-0.98837996,-0.30757064
-0.6987042,1.3986049,9.872188,0.41798455,0.02611449,-0.17195857
-1.0731809,1.7647067,8.698508,0.19028452,0.3051272,0.028099801
-1.4087744,2.0051854,7.91785,0.31581733,-0.009315695,-0.050396383
-1.9064814,2.2301106,7.2083783,0.34193182,-0.5897904,-0.14049901
-1.692922,2.5310082,7.4141607,0.18875736,-0.9211848,-0.041691553
-1.0839486,2.8325038,7.8257265,-0.016340645,-0.6772968,0.04795292
-0.90508515,3.5533416,8.230712,-0.28603765,-0.06337727,0.08002335
-0.7830512,3.8739798,8.0345,-0.33857206,-0.01038471,0.032528576
-0.99661064,3.7818563,8.273783,-0.23533584,-0.30680707,0.014049901
-0.8662018,3.6789649,9.068199,-0.2443461,-0.71929383,-6.11E-04
-0.32123643,3.4007993,9.935597,-0.14385876,-0.53130007,0.0720821
0.124426775,3.6957145,9.270393,-0.11682798,-0.06734789,0.100334615
0.1058824,4.1024942,7.785647,-0.3284928,0.20693061,0.08093964
-0.15194423,4.26401,7.737192,-0.549626,0.09056077,-0.004581489
-0.4863412,3.8907297,8.948559,-0.4729624,-0.02443461,-0.010079277
-0.30508488,3.8901315,9.355338,-0.093462385,-0.1695151,0.021533
-0.13519448,4.093521,8.656634,0.13973543,-0.26648995,0.043829583
-0.12263216,4.1964126,7.9818583,0.10873401,-0.14370605,0.04795292
-0.21475583,4.42732,7.560123,-0.08323039,0.020922136,0.06490443
-0.10109676,4.618148,7.640881,-0.29626966,0.069485925,0.02031127
-0.15732808,4.6259246,8.129017,-0.36682457,0.080634214,-0.033444874
-0.36490545,4.4458647,8.870791,-0.2452624,-0.07513642,-0.05375614
-0.56111693,4.4799623,8.444869,-0.029626964,-0.1479821,-0.0032070426
-0.46839502,4.8502517,7.8604226,0.042455133,-0.30069843,0.005955936
-0.29252258,4.946563,7.7216387,-0.02565634,-0.3943135,0.01572978
-0.31226337,5.085346,7.75454,-0.17470746,-0.31215215,-7.64E-04
-0.111266255,5.0123653,8.32463,-0.27885997,-0.15974127,-0.019700404
-0.27876383,5.2737813,8.477173,-0.25473082,-0.1142318,0.014813482
0.09750752,5.49751,8.974879,-0.06505715,-0.28023443,0.059101213
1.061815,5.9641104,8.931808,0.23625213,-0.50426924,0.1910481
0.89072824,6.556334,7.5613194,0.5235115,-0.68615437,0.12721269
2.0368903,6.8422766,7.461419,0.42730024,-1.0509937,-0.039095376
2.349752,6.6502523,9.214162,0.33261612,-0.869414,-0.27382034
1.5744773,5.6757755,9.875179,0.4512767,-0.21502456,-0.35063666
0.88354975,5.365905,9.071191,0.41050145,0.24816401,-0.1638646
1.6576279,5.705087,8.516654,0.08368854,0.087659165,-0.25045475
2.0279171,4.9453664,8.958728,-0.39950588,-0.34697145,-0.567952
1.1970096,3.7106698,10.146765,-0.81214535,-0.44883323,-0.7079928
0.59760743,2.9300113,11.464013,-0.87109387,-0.24709499,-0.6055202
0.11784652,2.684747,11.459228,-0.5540548,-0.09514226,-0.35705075
0.19262223,2.7122645,10.573883,-0.22693644,-0.17867808,-0.15592335
0.51445687,2.7068806,9.635897,-0.054367006,-0.36667186,-0.020922136
0.9619147,2.7044878,9.4019985,0.004886922,-0.47693303,0.054519724
1.8610178,2.7942185,9.215957,0.047647487,-0.5458081,0.08124508
2.5310082,2.8983064,8.790632,-0.014966198,-0.46868637,0.02031127
2.7361927,2.9503503,9.101699,-0.12095132,-0.3724751,-0.08827003
2.3132613,2.804388,9.427123,-0.15454891,-0.13622294,-0.19043724
1.4853446,2.6309085,9.067601,-0.14767668,0.13225232,-0.16752979
0.9409775,2.7888348,8.497512,-0.19364429,0.3903429,-0.058643065
0.60059845,3.0717862,8.008179,-0.23457226,0.535118,0.040011674
0.5132605,3.44387,7.926225,-0.22388211,0.45723262,0.13530666
0.7501499,3.778865,7.9686975,-0.13958271,0.20570888,0.16615535
0.6221339,3.8015969,8.17448,-0.004581489,-0.043829583,0.19685133
0.72323066,3.7334015,8.653045,0.10888673,-0.14355333,0.29443705
1.1455638,3.888337,8.505288,0.15286903,-0.09666943,0.37400225
1.4871392,4.0295134,8.103293,0.066737026,-0.017256944,0.35613444
1.477568,4.0534415,8.084151,-0.062308256,0.040927973,0.33460143
1.244866,3.9750767,8.352147,-0.15806139,0.110413894,0.3474296
1.2263216,3.979264,8.456834,-0.15103643,0.13744467,0.40026945
1.2161521,4.0995035,8.251051,-0.09682214,0.15393804,0.44425175
1.3058829,4.1724844,8.016554,-0.047036625,0.120493166,0.44394633
1.224527,4.182056,7.8634133,-0.034513887,0.101098195,0.43035457
1.1431711,4.2394834,7.872985,-0.05085453,0.1386664,0.43676865
1.4333007,4.464409,7.9776707,-0.05009095,0.1740966,0.4184427
1.3142579,4.491926,8.082955,-0.05299256,0.20937407,0.34865135
1.0947163,4.5296135,8.115856,-0.07376198,0.29932398,0.321926
0.994816,4.5535417,8.039286,-0.10140363,0.33933565,0.31490102
0.98524475,4.6145587,8.225926,-0.1244638,0.29993483,0.3013093
0.89072824,4.645665,8.809774,-0.06352998,0.27137688,0.2863431
0.34277186,4.88734,8.856435,-0.045814894,0.5705481,0.33505958
1.1922239,4.5302114,9.41815,-0.11789699,0.9405798,0.2848159
1.3220345,4.386044,9.657433,-0.14019357,1.5112807,0.21548271
0.32243285,4.182654,9.527621,-0.12599096,1.7909042,0.2666427
-0.45762733,4.0420756,9.503095,0.008246681,1.719433,0.4167628
-0.6729814,3.9960139,8.833105,0.17211129,1.427592,0.5833763
0.14536397,3.5168512,7.246065,-0.08964448,0.9789116,0.5890268
2.0452652,2.8019953,11.178669,-1.0180069,-0.7646506,0.08002335
1.527219,1.0719845,16.31606,-1.0268645,-1.112691,-0.21029036
-1.1006985,-0.53300124,15.239887,-0.02367103,0.46471575,0.31627548
-0.40558344,0.81595254,10.112667,0.12736541,0.91232723,0.79779
1.0809577,2.216352,8.455637,-0.09911288,0.267559,0.70081514
1.3154542,2.3479571,9.317053,-0.13240504,-0.3126103,0.4098906
0.48993045,1.9698912,10.106685,-0.07971791,-0.28145617,0.31535918
0.23629123,1.9758734,9.57488,0.09407325,0.0954477,0.49128836
0.67477596,2.5926232,8.425727,0.2680171,0.118507855,0.5681047
1.1670992,3.0209386,7.9615192,0.36483926,-0.15363261,0.48731774
1.5379868,3.1657043,7.8370924,0.41248676,-0.57528234,0.22464569
1.6241283,3.1561332,7.975876,0.3408628,-0.5884159,0.00290161
1.4626129,3.0317063,7.9280195,0.11866058,-0.38530326,-0.2312125
1.0869397,2.8151557,7.966305,-0.12018774,-0.24327709,-0.3820962
0.6801598,2.6004,8.918648,-0.33200526,-0.19975294,-0.5395467
0.37746778,2.4197419,9.727423,-0.30008754,-0.17379116,-0.5873469
0.04007978,2.3467607,9.756136,-0.19440787,-0.01863139,-0.56016344
-0.124426775,2.5932214,8.836694,-0.14889841,0.11377365,-0.4998405
-0.037686955,3.1316066,7.9980097,-0.27290404,0.047494773,-0.52671856
-0.17048861,3.301497,8.437691,-0.37705657,-0.030695979,-0.58169645
-0.465404,3.2416766,8.787043,-0.39538252,-0.050549097,-0.5865834
-0.78065836,2.8456643,9.7399845,-0.33185256,0.022296581,-0.46761733
-1.1736795,2.641078,10.529616,-0.13820826,0.51053065,-0.19822577
-1.3938192,3.385844,9.068199,-0.22067507,0.8341365,0.0027488936
-1.1455638,4.935197,10.18505,-0.21395555,0.91232723,0.14156802
-0.87338024,4.60738,9.970892,0.18234327,0.45998153,-0.05222898
-1.5248263,4.106682,9.143574,0.4560109,-0.065973446,-0.009315695
-1.7563318,4.6755753,8.730213,0.5852089,-0.2350304,0.17501289
-0.72263247,4.4225345,8.382656,0.589485,-0.38866302,0.2921463
0.07597212,4.616353,8.27797,0.49831334,-0.516792,0.27488935
0.51445687,4.6498528,8.584251,0.44776422,-0.65408397,0.1385137
0.6873383,4.301099,8.762517,0.43783766,-0.65316767,0.013439035
0.9457632,3.8207395,8.500503,0.41829,-0.56184334,-0.011911872
1.4350954,3.758526,7.7258263,0.3743077,-0.49174652,-0.015271631
1.8424734,3.996612,6.9451675,0.12797627,-0.5534439,-0.1348485
2.274976,4.06062,6.7591257,-0.5166393,-0.690125,-0.46929723
2.0536401,3.1794631,8.59801,-1.1995866,-0.70524395,-0.8008443
1.311865,1.9609182,11.906686,-1.7429513,-0.27076602,-0.9952522
-0.49351966,0.8237292,14.453247,-1.5335772,0.3481932,-0.7831292
-1.2735798,0.49292147,14.008182,-0.68477994,0.12889257,-0.27748555
-0.068793654,0.97507524,12.601202,0.16432275,-0.70295316,0.15882497
1.3848461,1.4177474,11.6351,0.592692,-1.2463179,0.3202461
2.8660033,2.0422742,10.759327,0.6806566,-1.377043,0.25579983
3.5300117,2.2624137,9.841082,0.46777007,-0.89919364,0.03848451
3.0753753,2.2713869,8.213364,0.10903945,-0.19135354,-0.1704314
2.2085752,2.0703897,7.5475607,-0.3417791,0.36392298,-0.38453966
1.5667006,2.0901306,8.135597,-0.3912592,0.59742624,-0.539394
0.4959125,1.7736797,7.5900335,-0.2275473,0.64476824,-0.5138904
-0.053240303,1.8598214,6.9188466,-0.15393804,0.47739118,-0.35888332
0.07956135,2.1738794,7.483553,-0.14996742,0.2396119,-0.19532417
0.020338992,2.2103698,9.239286,0.03894266,0.010231993,-0.09605856
-0.71665037,1.3339987,10.398609,0.45188758,-0.11346822,0.25793785
-0.4743771,1.5074782,10.317253,0.56428677,0.12721269,0.6800457
-0.26021945,1.8586249,11.163714,0.48380527,0.055588737,0.8872818
0.72741807,2.3024936,10.694721,0.50488013,0.17058411,1.1180362
1.7814565,3.8985064,10.180862,0.5882632,0.105832405,1.0404562
1.8568304,3.8536408,9.42473,0.817185,0.15989397,0.7884743
1.9854445,4.106084,7.155736,0.8695667,0.46196684,0.81504697
2.300699,4.625326,6.389435,0.70005155,0.4804455,0.6440047
2.4861426,5.508876,5.3066826,0.5360342,0.10598512,0.37110063
2.155335,5.919843,5.047061,0.5001459,-0.5852089,0.12140947
1.3286148,5.2169514,4.4542394,0.42546764,-1.3329079,-0.049785517
1.5918252,5.092525,4.8179483,-0.095294975,-1.1322387,0.036957346
2.292324,5.3150573,5.9383874,-0.7510588,-0.34773505,0.0290161
2.57707,5.5226345,5.6416774,-0.9456194,-0.07086037,-0.20250183
2.4909284,5.1619167,4.790431,-0.9184359,-0.4195117,-0.36545014
1.5667006,3.0227332,7.798807,-1.3093897,-1.3603969,-0.322995
2.0153549,2.4765713,12.677175,-1.3605496,-0.7313584,0.033444874
2.7194428,2.536392,12.596416,-1.0601566,1.0526736,0.19853121
2.7858438,2.2863421,11.730215,-1.0089967,0.45433104,0.3743077
3.912265,2.5692933,13.893925,-0.745561,-0.6036876,0.34208453
5.296513,1.9076779,14.442479,-0.34666604,-1.0560333,0.22800545
6.526424,0.046061836,13.853845,-0.37140608,-0.048716504,0.05207626
5.6943197,-1.5834504,13.329817,-0.53893584,1.1313224,-0.18295415
2.5998018,0.18245272,12.193824,-0.27076602,1.5642731,-0.23396139
2.2917259,0.12263216,9.982856,0.040927973,0.94959,-0.25625798
2.0620148,0.12502499,9.159127,0.100334615,0.9308059,-0.39629883
1.0677971,-0.20219351,9.001201,-0.06246097,0.7993172,-0.43310347
0.71007013,-0.13579269,8.79482,-0.009468411,0.47067168,-0.37415496
1.1832508,0.54436713,8.578867,0.21288654,-0.20723604,-0.3903429
1.1210374,0.67776704,8.721839,0.33353242,-0.5180137,-0.4381431
0.90508515,0.90329057,8.261818,0.27015516,-0.36880988,-0.46089783
0.8219346,1.3196417,7.954939,0.0071776668,-0.036651913,-0.397826
0.8111669,1.7676977,8.207381,-0.019547688,-0.074830994,-0.4297437
0.5952146,1.9788643,7.699505,-0.043676864,-0.24236079,-0.5331327
0.23389842,1.8532411,7.7617183,-0.12721269,-0.29352075,-0.5526803
-0.071186475,2.0554347,8.27797,-0.2519819,-0.28160888,-0.5129741
-0.1369891,2.120041,8.913862,-0.21273382,-0.2518292,-0.44806966
0.35712877,2.5268207,9.19143,-0.09636399,-0.38331795,-0.41080686
0.5706882,2.7188447,9.0951185,-0.0016798794,-0.4699081,-0.44684792
0.85064846,2.8917263,9.133404,-0.07452556,-0.46715918,-0.4699081
1.1844472,3.0580273,9.650253,-0.19624045,-0.40775254,-0.50991976
1.2418749,3.1040893,10.176675,-0.19303341,-0.2602286,-0.5572618
0.6089734,3.0490541,10.257433,-0.08933904,-0.14294247,-0.5571091
0.21296121,3.1639097,9.8117695,0.07269296,-0.045662176,-0.44333544
0.22432712,3.5431721,9.236894,0.24281894,-0.12629639,-0.3287982
0.18424734,3.888935,8.805588,0.35262197,-0.21395555,-0.2509129
0.18245272,4.124628,8.369495,0.34773505,-0.3371976,-0.1740966
0.46899325,4.1294136,8.580662,0.31810808,-0.44241914,-0.12034045
1.183849,4.0677986,9.078967,0.29901853,-0.61468315,-0.13805555
1.7012969,3.6550367,10.080363,0.3005457,-0.64766985,-0.13316862
2.312663,3.4450665,10.584053,0.34590244,-0.49571714,-0.14508049
2.5172493,3.3750763,10.3543415,0.41493022,-0.38148534,-0.15974127
2.5112674,3.4103706,9.756136,0.42546764,-0.3275765,-0.16814066
2.705086,3.3427732,8.76132,0.24465153,-0.39950588,-0.21074851
3.6628132,3.0077782,8.538189,-0.513585,-0.6253733,-0.36850446
4.1318064,1.7204394,12.321242,-1.3158038,-0.57742035,-0.65286225
2.6434708,0.15254244,15.309279,-1.1217014,0.08399397,-0.59635717
1.1617154,-0.23808585,13.62892,-0.35262197,0.6968445,-0.23136522
1.0683953,0.27876383,10.593624,0.33505958,0.5035057,0.17669277
1.7060826,0.7603194,8.7367935,0.6302602,-0.1600467,0.33567044
2.716452,1.4153546,8.2145605,0.63545257,-0.7443393,0.3313944
3.505485,1.8137596,8.310273,0.38637227,-0.9025534,0.2078469
3.9786658,1.8311075,9.296714,-0.007788532,-0.56001073,0.011453724
3.8470607,1.689931,9.947562,-0.22449298,0.053145275,-0.17241672
2.7008986,1.2574283,9.588638,-0.1947133,0.59650993,-0.24190263
1.5804594,1.1150553,8.290532,0.03604105,0.7312057,-0.12705997
1.2257234,1.227518,7.332805,0.22525656,0.49220467,-0.001985312
1.2580265,1.3106686,6.8015985,0.35185838,0.09987647,0.13500121
1.8197416,1.4075779,6.9074807,0.37614027,-0.19501872,0.20631973
2.3144577,1.4703895,7.1228347,0.26847526,-0.27947086,0.24694228
2.539383,1.4117653,7.649854,0.15286903,-0.20769419,0.27565295
2.853441,1.6217356,8.013563,0.052534413,-0.067500606,0.3193298
2.8863423,1.9734805,8.611171,-0.0032070426,0.06246097,0.35537085
2.6949165,2.3635106,8.815757,0.035430185,0.1421789,0.41691554
2.5172493,2.769094,8.809774,0.08032878,0.21731532,0.48808134
2.3862424,3.3750763,8.837293,0.089491755,0.29184088,0.51159966
1.9758734,3.5934215,8.817552,0.13225232,0.3387248,0.5459608
1.8741783,3.9517467,8.75474,0.2350304,0.31322116,0.6056729
2.0249262,4.3292146,8.7780695,0.40026945,0.22510384,0.6232353
2.1003,4.473382,8.672188,0.44501534,0.20005837,0.6094908
2.204388,4.6552362,8.648259,0.52687126,0.16691893,0.5896377
2.5704896,4.8137608,8.676973,0.54504454,0.1928807,0.50869805
2.475375,4.709075,8.605188,0.48930305,0.31398472,0.39400807
2.1254246,4.281358,8.959925,0.3736968,0.48334712,0.3678936
2.140978,4.141378,9.433703,0.36972618,0.5112942,0.3839288
2.2085752,4.0827537,9.850653,0.4240932,0.50717086,0.3923282
1.9298115,3.8081772,10.195219,0.50885075,0.6620252,0.39736784
1.3495519,3.39721,9.72144,0.573297,0.77274454,0.5852089
2.3054845,3.473182,9.397213,0.6200282,0.34895676,0.82527894
4.185645,3.6981075,9.680762,0.47616947,-0.3849978,0.7510588
5.4927244,3.057429,12.310474,0.27931812,-1.0441214,0.39660427
4.7952166,1.7234305,13.370495,0.3303254,-0.41416663,0.11148291
3.5551362,1.4255241,11.407782,0.26282477,0.34025195,0.112704635
2.8995028,1.4979069,9.348758,0.016035212,0.6554584,0.15607607
2.8253253,1.8293129,8.769096,-0.12873985,0.34605515,0.09056077
2.745764,1.8125632,9.309875,-0.13103059,0.093462385,-0.09040806
1.7084754,1.4141582,8.903095,-0.076816306,0.31978795,-0.15485434
1.311865,1.4685949,8.098508,-0.06307184,0.54336464,-0.047494773
1.5182459,1.9016958,7.3609204,-0.08384126,0.5271767,-0.013286319
1.588236,2.2127628,7.2215385,-0.112399206,0.18891008,-0.0693332
1.550549,2.193022,7.3746796,-0.0627664,-0.06307184,-0.1217149
1.5128621,2.1445673,7.609176,-0.0027488936,-0.24404067,-0.13836098
1.9166509,2.3940191,7.618747,0.016646078,-0.32436943,-0.17302758
2.1864417,2.7008986,7.5846496,-0.07086037,-0.34880406,-0.28680122
2.2677977,2.8528428,7.9340014,-0.21700987,-0.42394048,-0.39584067
2.6781666,2.9838498,8.967701,-0.30909783,-0.48624873,-0.5366451
2.8025935,3.0681968,9.465408,-0.28909197,-0.40424007,-0.6934848
2.7678976,3.298506,9.306884,-0.2640465,-0.33200526,-0.84406304
2.4861426,3.379862,8.918648,-0.2845105,-0.27259862,-1.0082331
2.361716,3.446861,8.8085785,-0.36086863,-0.19425514,-1.1438452
2.0434706,3.269792,8.660223,-0.3885103,-0.04230242,-1.2977833
1.3866407,2.9688947,8.052446,-0.43050727,0.057268616,-1.3697126
0.9619147,2.9880373,7.5924263,-0.51007247,0.11835514,-1.3765849
0.48035914,2.9682965,7.2526455,-0.6180429,0.15851954,-1.3529139
