accelerator z,accelerator y,accelerator x,gyro z,gyro y,gyro x
-0.8219067505,-0.4451679257,0.346941689,0.07740906626,0.01273754705,0.3840224445
-0.3304734789,-0.3342385305,0.3645412778,0.2312803864,-0.07877342403,0.3214511573
-0.3935246861,-0.1444146084,0.1649785634,0.339607507,-0.09996647388,0.2703670859
0.07030161672,-0.02838233714,-0.01650171053,0.3287076056,0.08507059515,0.4096819758
0.5931523554,0.1338008599,0.04135620234,0.3228484988,0.2394200712,0.6443668008
0.5586036046,-0.0771437377,0.34697139,0.2799606919,0.1773075759,0.7027894258
0.7120172197,-0.07123772852,0.2188530327,0.2549197078,0.1893745065,0.6889485717
0.972071593,-0.2001601688,0.4880334001,0.3103652298,0.1762063652,0.6800507307
0.7417997791,-0.2281277876,0.6866073225,0.3699341714,-0.07626177371,0.5020263791
0.1771253301,-0.2808876102,0.8338336274,0.3095943928,-0.4456889927,0.182820946
0.3241366771,-0.3527195052,0.1133497907,0.2759144306,-0.3572595119,-0.09872862697
0.3403887237,-0.20598113,0.0676395031,0.2443274856,-0.1576654464,-0.2791497707
0.1836059243,-0.2150622621,0.05966914528,0.2414661944,-0.03867312148,-0.3436199725
0.4262397917,-0.2036842512,-0.12789507,0.2999314964,0.07971960306,-0.2871123552
0.4145633824,-0.3609802608,-0.04252864365,0.3656353951,0.06518156826,-0.1798258126
0.3012006226,-0.3030772302,-0.2954809663,0.3305841982,0.06280180812,-0.07501901686
0.6824415812,-0.4125649021,-0.1057154417,0.2602019012,0.1485178322,0.1445177794
0.6105220079,-0.3944046838,0.1583516378,0.1467691213,0.1455402523,0.3016109765
0.6565040068,-0.5438727762,0.345454921,0.08215269446,0.1312164366,0.3305861056
0.6616840398,-0.585745294,0.6031847968,0.1073410064,0.1050440446,0.2525904775
0.5713648865,-0.5909551376,0.5878224656,0.1808454394,0.07688577473,0.09740644693
0.663357526,-0.5770587142,0.7656968605,0.2647876143,0.04486558586,0.01081587747
0.3633604339,-0.5908364797,0.7896478642,0.2952754796,-0.06862792373,-0.09153517336
-0.05250467874,-0.561018849,0.4458239784,0.2691534758,-0.1098698229,-0.2418843955
-0.05222469276,-0.3406988125,0.3514610296,0.2542520463,-0.002036592457,-0.264850229
0.3191150495,-0.1415408065,0.2265942945,0.294418633,0.2674860954,-0.09654639661
0.6636532941,-0.1762327652,0.2795263135,0.3805927932,0.4889886081,0.1421080083
1.026740756,-0.3668903616,0.6034728931,0.4518975914,0.5060711503,0.3300080895
1.228225452,-0.6219988029,0.6345270067,0.4770734906,0.437292695,0.3748857677
1.192719839,-0.7681833436,0.7666625638,0.4399521351,0.2986652851,0.2955154479
1.331812083,-0.790345491,0.8122669616,0.4159839153,0.2531687319,0.1902225763
1.386148069,-0.8020569716,0.7879312695,0.4655147493,0.2611188293,0.07450363785
1.346269063,-0.7929971746,0.7527123644,0.5396209359,0.2946324944,-0.05464022607
1.49981478,-0.7802090047,0.6027245955,0.6057574749,0.382008642,-0.09213938564
1.439341314,-0.8837278314,0.7253004066,0.6471331716,0.2692913115,-0.1002227291
1.264006375,-1.037139985,0.5619989461,0.6444746256,0.1412713677,-0.1495870054
1.145387594,-1.136565113,0.4641953553,0.60563761,0.1012224555,-0.2100811452
0.9741513219,-1.117222991,0.3733677775,0.6115281582,0.07208450884,-0.2955149412
1.023348776,-1.070800847,0.219322148,0.6344695687,0.1315080523,-0.3257197738
0.704480979,-1.045309848,0.250987635,0.5950601697,0.1289616078,-0.3717810512
0.5464022947,-1.045908983,0.1709569072,0.5641070604,0.1343813986,-0.3868625462
0.2443552843,-1.063397293,0.2745414195,0.5088554025,0.04442501441,-0.3754050732
-0.1494073021,-1.046824928,0.1081524413,0.4694395661,-0.01405361481,-0.4046503603
-0.1294178226,-1.119690258,-0.05658581057,0.4905329943,0.118437022,-0.4122682214
-0.2539987265,-1.329933722,-0.03263867941,0.490265131,0.3078313172,-0.3839358389
-0.7583809115,-1.488615048,0.06848360751,0.4101697505,0.3033383787,-0.3696029782
-1.115465334,-1.67794578,0.2027352434,0.306743592,0.170898363,-0.3912731111
-2.269185872,-1.638664448,0.3034873819,0.1866903007,-0.3429388404,-0.60837394
-3.584679857,-0.9683147247,-0.2057910508,0.02799719572,-0.9750760794,-0.9842848182
-3.139789141,0.09485635839,-1.162706978,0.006732247304,-0.9972344637,-1.029309034
-1.829251317,0.8005129571,-1.989052441,0.1306857467,-0.2267085463,-0.5793249011
-0.9919272171,1.022633759,-2.076104263,0.1961269379,0.756788373,-0.02997136675
-0.6433703845,0.7834183221,-1.322027333,0.1193778366,1.30553019,0.2597284913
0.2408563363,0.5995750819,-0.8201512121,0.07353044301,1.47392416,0.4311132431
0.9118202456,0.2140733972,-0.5183768812,0.1918999702,1.247099161,0.5677723885
1.371415779,0.01010375312,-0.3169396782,0.3254300952,0.7849587202,0.6406316161
1.405755271,-0.102002723,-0.1125485939,0.2769843936,0.2885685861,0.6126973033
1.571445015,-0.09170710058,-0.1096462235,0.06025459617,0.03889374062,0.5677440166
1.049570428,0.08670593129,0.01648022935,-0.2573490739,-0.1710467637,0.4180160463
0.3381488358,0.3531576044,0.3499988481,-0.5276356339,-0.419308722,0.1450683475
-0.3718476918,0.6228212252,0.4318202222,-0.6352176666,-0.4947446585,-0.2727935016
-0.9660819972,1.003568555,0.3890552125,-0.6065896153,-0.4780523777,-0.73381567
-1.008641036,1.437770412,0.3038124856,-0.498983264,-0.3416714668,-0.99494946
-0.3779781574,1.812343144,0.06566796557,-0.3185688555,0.05736070499,-0.8291611671
0.1641267324,1.897234574,0.277110795,-0.1812136769,0.5059270859,-0.3541342616
0.485569348,1.568633172,0.2721780879,-0.02004409954,0.5969135761,0.1346559078
0.6164034671,1.189736,0.7983775525,0.1071717888,0.4215747416,0.4418125153
0.7109370233,0.9208553466,0.8644440158,0.1771722883,0.03613048419,0.5382823944
0.794510794,0.6531656562,0.7498540523,0.1938161254,-0.2109571993,0.475205183
1.287445702,0.3422146239,0.4660143874,0.2126155198,-0.09722098708,0.3978554904
1.164044948,0.2291851877,0.4589543128,0.1275589317,0.004869041033,0.2594965994
1.139847496,0.1409681212,0.514210263,0.01105457731,0.0361138843,0.107194066
1.069255956,0.1093957559,0.5659159004,-0.03479401395,-0.01799867861,-0.02481481805
0.9878092603,0.1228174014,0.6103672557,0.009681986645,-0.1154200807,-0.1057406887
0.985436686,0.1692434909,0.5507121207,0.1325076222,-0.1756062508,-0.1182942912
1.045337905,0.02966068651,0.5624693401,0.2666269541,-0.2274821103,-0.07195139676
0.9511018702,-0.1981323162,0.5258453174,0.3287684917,-0.3207575083,-0.03232874721
0.6878893252,-0.571800063,0.3894827172,0.3236007392,-0.4688344896,-0.01340535004
0.6123433781,-0.7418408417,0.2752957085,0.2731072307,-0.5490260124,0.02164108306
0.5968529635,-0.9316421136,0.1475648161,0.2595558465,-0.5369105339,0.09387924522
0.7055354565,-1.087087088,0.1020235831,0.279147923,-0.4850832522,0.1658992022
0.720821873,-1.332958623,0.0721940794,0.3046367764,-0.4377664328,0.2001712173
0.6853864024,-1.621534741,0.09967232557,0.2491318434,-0.3790087104,0.2116976678
0.6468973896,-1.788901479,0.1744627233,0.1116883755,-0.3356887996,0.223176524
0.5144055664,-1.881232849,0.334254276,-0.02784461714,-0.3646495938,0.2081735581
0.2663023277,-1.869269731,0.4443322055,-0.0841999352,-0.4666865468,0.133447364
-0.001086041671,-1.759510841,0.4921693308,-0.0658981055,-0.5617552996,0.02691883221
-0.2553197459,-1.656802746,0.5119030455,-0.03757701069,-0.5652142763,-0.0230152905
-0.4398714267,-1.601081151,0.4829153264,-0.06070228294,-0.4504599869,0.001840376994
-0.9969733945,-1.523553967,0.590557407,-0.1878237724,-0.5083624721,0.008939712308
-2.029970289,-1.175322714,0.3849909222,-0.3714964092,-0.5097258091,-0.09585703909
-1.846357935,-1.024259461,0.06921031435,-0.3921503723,0.00771904178,-0.1747252941
-2.238672076,-0.6265925604,0.3709999889,-0.4014648199,0.3758794367,-0.412250042
-3.42457522,-0.4724238891,0.5888852725,-0.3738858998,0.1349056214,-0.9455543756
-2.945045737,0.06627776803,0.1082950464,-0.09192387015,-0.07004103065,-1.24444437
-1.802484306,0.7905357529,-0.273013735,0.2795121074,-0.02906079404,-0.9616129994
-0.6004553719,0.9294681305,-0.4186657032,0.5571859479,0.1733033806,-0.2051363885
0.4952385091,1.137199173,-0.3667535835,0.6218737364,0.2324494869,0.7266990542
1.331981594,1.074929472,-0.273481042,0.5574936867,0.02372209728,1.501381636
1.396774092,1.09655342,-0.2512598761,0.429505229,-0.4557239115,1.80788517
0.6771703628,0.9419082177,-0.06692077864,0.220328033,-1.095015645,1.555820942
0.2207113739,0.8503343881,-0.2028827987,0.00411317125,-1.401450157,0.9519677162
-0.266723768,1.029154247,-0.4480352247,-0.2189105898,-1.204732418,0.2079441845
-0.3578957388,1.348717333,-0.7581872156,-0.371946305,-0.58543396,-0.4325434268
-0.1436509306,1.589177071,-0.7303832628,-0.3793995976,0.1228375062,-0.7490211129
-0.1762374414,1.863958765,-0.2688583689,-0.3124165833,0.4809298217,-0.7402309775
0.4159592207,1.908519499,0.01736190756,-0.1345919818,0.6124019623,-0.4218724072
0.8821855704,1.729200459,0.2294377742,0.08290214092,0.4938539267,0.05001747608
