x.accelerometer,y.accelerometer,z.accelerometer,gyro.x,gyro.y,gyro.z
0.08149740286,-0.04285480686,-0.2483019761,0.4119779468,0.0708854571,-0.1021705717
0.9919454834,-0.7050248766,1.505210501,-0.08044028282,0.1720122397,-0.04903227836
0.6964682799,-1.086613918,0.5893734214,-0.3785972595,0.1422951221,-0.03500070423
0.3815273012,-1.25046008,-0.09907821387,0.07860711962,-0.3483187556,-0.02226607502
0.7908736066,-1.05541477,0.3487666759,0.1483255178,-0.4276806414,0.2300806642
-0.3747222243,-0.5907324348,-0.9310673824,-0.2529335022,-0.2761257291,-0.08212676644
1.644471819,-0.08752923037,2.541323482,0.1539960504,-1.041245461,1.012244105
-0.866054739,1.523957287,-2.019160141,0.02798970416,0.4987221658,0.4536446631
-0.3132285487,1.960759682,0.1689297487,0.7719545364,-0.06581383944,0.8375787735
-1.988964324,0.7639069815,1.368051271,-0.6308173537,0.2286588997,-0.005340720527
-3.423243679,0.07878098351,-4.411856657,0.1744556576,-0.03814142942,0.0386941433
-0.9852189516,-0.1191106558,-0.9804957225,-1.430150151,-0.2585537732,0.3507303596
-0.8415655368,0.7149982814,-0.4073632418,0.4544955194,0.2610152662,-0.07363011688
0.9114899908,-0.7477543036,1.43817227,0.5299168229,-0.1888429523,0.5161587
0.7952091516,-0.2883323732,-1.263317808,0.2497467101,-0.3517549038,0.1347112358
0.3653098144,-0.01494067176,0.5372083498,0.2199729681,0.1756413281,-0.1124320105
0.1174194879,0.2562716398,-0.1745668778,0.2922324538,0.06411223114,0.1309946477
-0.2418849487,-0.265667537,0.9200421305,-0.07215727866,0.003868132364,0.03834337741
0.2412128947,-0.2589583947,-0.1168377424,-0.1395350248,0.1139732301,-0.02965259552
0.2556396255,-0.1782180938,-0.08262626076,0.1108070314,-0.06046767533,0.001600047341
-0.0304188114,0.2020177793,0.04621931486,0.1345734298,-0.1095139533,-0.08822022378
0.1416413443,-0.01008592521,-0.09493453819,-0.0229266379,-0.02403004467,-0.08583577722
0.4335563983,-0.05697013372,0.2144762789,0.04184648767,-0.02279447019,-0.04780469835
0.206051711,-0.1356695764,0.386486458,-0.2886258066,0.02940614708,-0.06249004602
-0.03059256053,-0.01418780757,-0.04471943169,0.0818554461,-0.05862174556,-0.07415486127
0.2010370977,-0.07377075413,0.1782259849,-0.0265387632,-0.2115483135,-0.04271631688
-0.1317762222,-0.08813771766,-0.2848182276,0.06221791357,0.01072221063,-0.08325751126
0.1047942534,-0.03478051374,0.04891396077,0.05027532205,-0.004769564606,-0.06937881559
0.1050280622,-0.05235591792,-0.01459843419,-0.03233203664,0.01534636412,-0.008583110757
-0.0249006325,0.02383767944,-0.1055880342,0.05505448207,0.03265354037,-0.009156210348
-0.01212649112,-0.0895128054,0.05167641122,0.02458462119,0.01233389229,0.02341052517
-0.0006429740787,-0.01842792936,0.1542564957,0.02543187328,-0.007658196148,0.02184777893
-0.07927768098,0.01328325994,-0.1720861669,0.04210114479,-0.05612682924,0.0289262142
-0.07811009851,-0.1448345874,0.1701595828,0.04158047587,-0.00001292384695,0.01550286729
0.07083586972,0.04919745389,-0.2522165192,0.1576072425,-0.0410191156,-0.003863227088
-0.1887606767,-0.0740022248,-0.1590367157,-0.2155544609,0.5889726877,0.04693124816
0.01928586136,-0.1058686047,0.5920020163,-0.07548154891,0.2386054099,0.051351659
-0.5672177037,-0.1852837944,-0.5633861627,-0.1216081828,0.08823064715,-0.1925446093
0.5600044113,0.06812310363,-0.009255904123,0.1028524935,0.08237069845,-0.004123066552
-0.06675853728,-0.1025412138,0.2383043137,-0.04683851823,0.06618367881,0.1082249433
-0.2958943329,-0.04517565103,-0.02707271584,0.02147489227,-0.06578651071,0.04463839158
0.2120323929,-0.2067375013,0.05400806904,-0.0894042477,0.0489400737,-0.01632175781
0.2671681508,0.1927878864,-0.4051677776,0.002466825303,0.08241654187,0.07560071349
0.05394881313,-0.04865910923,0.314108035,-0.007858089171,0.0874241069,0.1068536192
-0.08197503031,-0.1218599545,-0.1671101321,-0.05369087309,0.03319076821,0.06679524481
0.03670885146,0.09088847767,-0.08803133467,-0.03125436231,0.1157065555,0.06250989437
-0.2905702883,-0.03749006496,-0.05907996548,0.02172017097,0.02374680154,0.1170002967
-0.3968058266,-0.2486287239,-0.05477262367,0.04897987098,0.01200156007,-0.02950523794
0.2477439769,0.01304915893,0.3298462869,-0.001643291675,0.08486661315,-0.04013432935
-0.01036532667,-0.2331093754,0.2465390581,-0.07422114164,0.1059052572,0.07635809481
-0.421608844,-0.2065560073,0.09201835848,-0.01093819551,0.02110870741,0.06881710887
0.04448153128,-0.005093816008,0.868558027,0.05351788923,-0.02339544147,0.1523786038
-0.2476762454,-0.2201569549,0.03209843505,-0.2152435035,0.0007267679321,0.268042773
0.01093742747,-0.3815852419,0.2642401345,-0.04049172625,0.05499621481,0.03084377199
0.9215674404,0.04940729725,0.1569844594,-0.4528522491,0.1031486243,0.04747305065
-0.3483139637,-0.7548202964,-0.6022562838,0.1154942364,0.1187135354,0.02988563292
0.1971776458,-0.06078355453,-0.1017301897,-0.08230689913,-0.0525752604,-0.2418648601
0.2556459092,0.2663704245,-0.3062222502,0.1209945828,-0.141492784,-0.06481669098
0.4575359705,-0.3685863519,0.4805851299,0.2646992803,-0.3131994307,-0.3388793468
-0.9003000498,0.2203311424,-1.257338733,-0.6373041868,0.07541552931,-0.2846491039
