lsm6ds3c_accelerometer.x,lsm6ds3c_accelerometer.y,lsm6ds3c_accelerometer.z,lsm6ds3c_gyroscope.x,lsm6ds3c_gyroscope.y,lsm6ds3c_gyroscope.z
1.2556337,-10.165309,0.3164508,-0.22769332,0.282975,-0.31779328
0.4325027,-11.287542,1.7880367,0.3232909,0.5126536,-0.26037365
-2.6518457,-11.445469,1.6253247,1.9530314,0.12171131,0.14293826
3.8135612,-12.385848,-1.8777676,3.5096228,-0.49402273,0.67071027
2.964109,-13.400405,-1.6002002,2.4638524,1.586523,0.7073611
-0.42412782,-11.577074,0.8596215,1.818645,-0.052991,0.907719
0.8991031,-10.794621,-6.625128,2.904884,-2.8227253,1.1630532
-1.5104693,-4.903492,1.378864,0.38559732,-0.78112096,0.34329617
2.7846475,-5.9563336,-0.62871414,0.38193226,-1.4006728,0.30786702
3.842275,-5.1140604,-0.82971126,-0.30954686,-1.5472761,0.13438639
2.5142584,-5.9874406,2.7547371,-1.7755803,-0.48791423,-0.114992
-0.036490545,-14.584852,10.856834,-1.0975398,-0.6381827,-0.39231664
2.30369,-7.9854474,5.425127,0.8437328,-1.076771,0.34573954
2.3204398,-7.9184484,3.0490541,-0.29610822,0.08750387,0.29931515
-0.06759724,-15.350555,5.968298,0.07406523,-0.856866,0.5326588
6.25424,-3.8793638,-4.406981,-0.5233434,0.51754034,0.29442838
-1.9172492,-11.538789,-3.004787,-1.7352643,0.37948886,-0.6024481
-1.3908281,-9.7298155,-0.16211374,-1.1903886,-0.040774055,0.37506023
1.9423738,-8.665009,0.421735,-1.6582975,-0.7310315,-0.3825431
0.5832505,-9.052647,0.7710871,-1.6582975,-0.57587624,-0.39964682
0.52582276,-8.363513,-1.3298112,-1.0682192,-0.39628717,-0.18340689
0.69332033,-9.753743,-0.7004988,-0.27900448,1.0184351,-0.11865708
5.837889,-11.079367,0.35712877,-0.2936648,3.6511867,1.2986612
0.94695956,-8.942576,-0.071186475,-0.8788565,0.7313369,-0.64276403
-1.2233306,-9.586246,1.8047864,-1.0217948,0.2793099,-0.8846595
2.9856443,-11.964711,1.797608,-0.38040513,-0.12507097,-0.097888276
-0.66341007,-10.351949,-1.9998015,0.8877138,-0.39384377,0.30542362
2.9593234,-15.410376,-0.46839502,2.4821777,0.5664081,0.175924
-0.5724828,-14.314464,-8.862417,1.9896822,0.24876754,1.3976185
0.43010986,-10.294521,-0.35114673,0.86572325,-1.3186666,2.0768807
-2.3288147,-13.594224,-6.780661,-1.0181297,-0.00167983,2.9051895
2.562115,-5.872585,14.496318,-3.2539833,-0.110410646,2.3529837
5.799604,-17.484953,0.14416756,-5.705924,7.5338845,-1.006829
-17.997017,-9.782457,-1.5786648,-7.0803304,4.425894,2.9039679
-11.641681,-11.084152,-4.222734,-7.823121,-2.0542793,10.340575
-8.050054,-11.6751795,-4.328018,-5.4078307,-0.696824,15.184747
0.8991031,-24.146572,-7.2783685,-2.436517,1.5425421,15.553699
2.8636105,-5.449055,-4.191627,-4.0847354,2.582204,10.444419
10.429716,-5.1906304,-6.4624157,-6.401068,4.183998,8.605769
7.496115,-1.0223335,6.061618,0.008093726,4.3440404,0.3555131
6.201598,4.703691,3.7214375,4.8705907,5.696456,1.9791452
4.4285164,1.6719848,5.8630137,3.4363213,5.2346554,4.2295065
4.775476,0.42771706,6.949355,0.3281777,6.5211,4.866009
11.461022,-2.7667012,11.648859,0.6824691,1.0123266,1.4770287
9.01795,-3.3816566,7.5643106,2.131399,4.0141826,-1.1937482
3.1890345,2.8516464,13.424334,2.8511295,3.7000546,-2.2798347
3.2656047,1.3896317,8.739186,2.3795555,0.99888796,1.375628
6.1824555,3.531208,8.559725,0.5835118,3.5033617,0.52288526
1.6313069,4.060022,8.978469,0.5822902,2.5406666,0.8295306
0.9828519,4.706084,6.827321,0.58839864,0.18646112,-0.17729841
-0.8428718,4.241876,8.219944,0.14981028,0.056961507,0.67437536
2.519044,4.3782673,9.409177,0.49310645,-0.6345176,0.013285928
0.590429,4.004987,7.8610206,-0.35230616,-0.5318953,-0.013591352
1.8586249,3.6843486,10.418948,-0.35963634,0.19989976,0.43125817
2.1936202,3.2584262,7.124031,-0.84587073,0.012980504,-0.3092414
0.025722843,2.9330025,9.849456,0.032527618,-0.33642414,-0.6134434
0.8488538,3.3062828,8.121839,0.14370182,0.4601207,-0.1137703
-0.04366901,4.4979086,8.425727,0.3672719,-0.4085041,-0.020921519
1.198206,3.9786658,9.430713,0.84739786,-0.44393325,-0.57434916
0.5282156,4.77069,7.2963142,0.91336936,-0.95704496,-1.0214894
-0.23030917,7.0486574,7.4662046,0.2622062,0.17302248,-0.22983128
0.41814575,6.096314,8.806186,0.28664008,0.41125292,0.42881477
0.9302098,5.3497534,9.265608,0.3281777,0.89748734,0.21868332
-1.1395818,6.0891356,9.34457,-0.4952444,0.75332737,0.10140064
-2.0321047,4.289733,12.304492,-0.26678753,0.12293301,0.5522059
-0.7830512,3.6532419,8.119446,1.0721897,0.33672956,0.76722413
-2.984448,4.8041897,6.8201427,0.103385895,0.26953635,0.643833
-2.1780667,4.0672,8.172088,-0.32909396,-0.4756973,0.75012046
1.0091729,4.488337,7.4997044,0.13637166,1.1247225,0.25166908
-0.232702,5.4574304,7.683952,0.78509146,0.35261157,0.46424392
1.7341982,5.098507,4.9585266,1.1674818,1.4863441,0.34573954
-1.6875381,6.062814,7.2029943,0.47233763,1.3275238,-0.1577513
-1.4769697,6.955337,7.353742,1.0550859,0.78386974,0.010842538
-1.352543,7.0678,5.3007,0.530979,1.5193298,-0.30191126
-3.63051,7.134799,8.863613,-1.2026055,0.25487602,-0.08567133
