accelerometer.z,accelerometer.y,accelerometer.x,gyro.z,gyro.y,gyro.x
-0.1207820962,1.123302019,-0.9167372438,-0.2533277273,0.1603593081,0.5214141011
-0.008065817556,1.203826339,-0.9207825736,-0.241328299,0.1900586188,0.5362881422
-0.1145651213,1.168312835,-0.8840887736,-0.197981745,0.1709644198,0.5118816495
-0.2306207735,1.027148753,-0.827429021,-0.1393727511,0.1000870466,0.4468366206
-0.3038362318,0.8598010123,-0.7270337332,-0.07598363608,0.005362324882,0.3612603843
-0.3560229307,0.7477841142,-0.6929663362,-0.01291092765,-0.09352937341,0.2940872014
-0.2425625557,0.6716197429,-0.6329730553,0.03854504228,-0.210636735,0.2386538535
-0.2084597951,0.6860553878,-0.5672599354,0.07190538943,-0.3405918181,0.2035832107
-0.2038005711,0.7698577066,-0.5411674627,0.0917930603,-0.3466265202,0.2028874904
0.05257715946,0.802915342,-0.5979702771,0.1113603711,-0.2418377995,0.2657066584
0.3406055813,0.7165811667,-0.7950124599,0.1284971386,-0.1678827405,0.3816249669
0.06039981591,0.6629530368,-0.9735758601,0.1419133395,-0.1964579374,0.5342988968
-0.4981342306,0.7298901456,-0.9213431301,0.1463956535,-0.2983339727,0.7136440873
-0.7767495119,0.8102923005,-0.6648237992,0.1472665071,-0.4378660321,0.8941978812
-0.7767483429,0.8683400004,-0.4015704837,0.1342763901,-0.5537606478,1.041264772
-0.707685328,0.9032610916,-0.2455954936,0.0883352682,-0.5960755944,1.114704847
-0.5599462514,0.8322256077,-0.1938302351,0.02102358453,-0.49587515,1.095296264
-0.3044932344,0.6041998191,-0.1559276438,-0.0399255231,-0.2665543258,0.9546650052
0.006343816069,0.2584171274,-0.1849884647,-0.08927977085,0.006795186549,0.7077690959
0.1954343093,-0.05017535901,-0.1721373126,-0.09660080075,0.2248950303,0.3913075626
0.2429384033,-0.3182224846,-0.05292626515,-0.07052432001,0.3206983209,0.05296203867
0.2569692667,-0.4214133945,0.1424665431,-0.01520619728,0.2899254858,-0.2599924207
0.2824012296,-0.469660708,0.3940660995,0.06064670905,0.1506718844,-0.4646265209
0.2905950575,-0.5916428276,0.6730490451,0.1338357031,-0.02318939567,-0.5966076851
0.1017728598,-0.7040151151,0.9435599304,0.1791110486,-0.1615944952,-0.6475920081
0.1608627621,-0.7404816822,1.078256424,0.1875665784,-0.1984989792,-0.6250667572
0.5562199243,-0.6566480915,1.062341208,0.1307275593,-0.151922226,-0.5365670919
0.9920698404,-0.5401347587,0.9388716264,0.02304929122,-0.08967404068,-0.3811088204
1.268995269,-0.3610024726,0.8449488956,-0.1051235572,-0.06591571867,-0.1854520291
1.305031043,-0.1079816513,0.9404930902,-0.2329004258,-0.08906657994,0.03259562328
1.083002742,0.05284224013,1.121354684,-0.3468163908,-0.1359932572,0.2273870111
0.8903057484,0.1614133817,1.246097355,-0.4267274737,-0.1886063963,0.35932374
0.7793348522,0.2234258935,1.208020283,-0.4619325697,-0.200864926,0.4099261165
0.869531256,0.2235410444,1.065526268,-0.441154331,-0.2106230259,0.3346287012
0.9354863679,0.07031973689,0.9292531726,-0.3740042448,-0.2717308402,0.125625968
0.7906096949,-0.1740165505,0.8872657962,-0.2820910811,-0.2817480564,-0.1804948002
0.6562713671,-0.3952534095,0.9394805521,-0.1799220741,0.03700209409,-0.4194019139
1.219132629,-0.6492413224,0.7495616452,-0.1037753671,0.3344982266,-0.5715680122
1.324264736,-0.7577917134,0.3323074163,-0.08288548887,0.5329232812,-0.7024757266
0.695469405,-0.5309384758,0.3641844637,-0.09886924922,0.6527271867,-0.7631955147
0.4357295046,-0.3824696236,0.5618259276,-0.1446527839,0.7472949028,-0.7744694352
0.5391916326,-0.3742889474,0.6776100694,-0.2020068914,0.8515997529,-0.7315477729
0.7076414889,-0.3320335678,0.7322847856,-0.2681660354,0.8344031572,-0.6549765468
0.4554653017,-0.1838809419,0.6786005417,-0.3415611684,0.6674807668,-0.6066734791
-0.1176677635,-0.1098509523,0.7604659011,-0.3923088014,0.4480710626,-0.5466317534
-0.3748018654,-0.2198532958,0.9995546432,-0.4321568608,0.2150982618,-0.4820772707
-0.486877508,-0.3427864325,1.16610568,-0.4597941339,0.03665572032,-0.3930394351
-0.6874550254,-0.3441936689,1.115236786,-0.4844632447,-0.0591962412,-0.2782510817
-0.7052379349,-0.2643877263,0.802475124,-0.5046668053,-0.05701332539,-0.1921651959
-0.6841296804,-0.1734580398,0.4441149095,-0.5251494646,-0.0003737490624,-0.1382748038
-0.6608914281,-0.1693999966,0.04913606082,-0.5539126396,0.07119295746,-0.1231837198
-0.5648901375,-0.2567237675,-0.2789851376,-0.6059268117,0.1091472581,-0.1193479747
-0.566640196,-0.3281292538,-0.4143395471,-0.6820301414,0.1153414845,-0.1122592688
-0.5884598137,-0.3336167453,-0.5159981694,-0.7678739429,0.1535985768,-0.1088698655
-0.4251397215,-0.3439674589,-0.5961243569,-0.8498162627,0.2464101762,-0.118171066
-0.01421557236,-0.3692451081,-0.6666858667,-0.9100399613,0.3124035597,-0.1503404528
0.2249216851,-0.4023679177,-0.797222318,-0.9454271197,0.3044282794,-0.1806854457
0.1835007104,-0.4037725238,-0.8452790774,-0.9606859684,0.2645663321,-0.1778331995
0.1179278758,-0.3916132995,-0.8503562346,-0.9748536348,0.2106556147,-0.1347403973
0.1151513968,-0.2838905914,-0.8402636604,-1.008262753,0.1022274047,-0.09366566688
-0.05723462987,-0.06688683984,-0.7602236898,-1.049394369,-0.03580740094,-0.0506881699
-0.3168652247,0.146126673,-0.6563562689,-1.081058383,-0.1578358412,-0.01132132113
-0.5565221221,0.2477332363,-0.6685230921,-1.088307023,-0.2340117246,0.03540779278
-0.7426257085,0.3177741563,-0.7701984828,-1.080570817,-0.2848272324,0.0930646956
-0.9007178369,0.4087126106,-0.8747172072,-1.073362947,-0.325645119,0.137065649
-1.131201832,0.5674053352,-1.012867056,-1.064775825,-0.3317741156,0.158627674
-1.242701136,0.7530769599,-1.135965028,-1.047708869,-0.3025698364,0.1639366746
-1.151874033,0.8473179629,-1.228047026,-1.014788508,-0.2522502244,0.1597403288
-1.087362106,0.9176765705,-1.294457481,-0.9515545368,-0.1679482609,0.1594093442
-0.9573942483,0.9441951595,-1.316014794,-0.8688444495,-0.07222998887,0.1627337784
-0.6525567305,0.9416115728,-1.241682899,-0.775536716,0.009526685812,0.1689074039
-0.2397580197,0.9022329176,-1.04598877,-0.6954099536,0.04317412898,0.1655776501
0.1321387719,0.8641244285,-0.7764536708,-0.6432258487,0.01753526554,0.1460650265
0.4517313758,0.7612430229,-0.4470503053,-0.6207508445,-0.04751457646,0.117325522
0.7682441339,0.5604346194,-0.1429545458,-0.6266431212,-0.1590029895,0.07090741396
0.9746493345,0.3131558488,0.1109640281,-0.6440154314,-0.3314970136,0.01408168022
1.026365493,0.04796703531,0.3060110916,-0.6693176031,-0.5548939705,-0.05072374642
0.9413812712,-0.1996726775,0.4196404665,-0.7153993249,-0.7602652311,-0.09488721937
0.7942647103,-0.3828858031,0.4955348617,-0.7817046046,-0.9123334289,-0.1012661383
0.5292699581,-0.5218573437,0.430901573,-0.8705439568,-0.9496067762,-0.05472686142
0.186346163,-0.5036319512,0.2065457782,-0.9866334796,-0.9032962918,0.04818292707
-0.1752250495,-0.3298825272,-0.1687752158,-1.121888518,-0.7727798223,0.1550249606
-0.4732680849,-0.101626437,-0.4989501135,-1.248809814,-0.5953629613,0.2306550294
-0.6073135672,-0.03759674021,-0.6500185903,-1.342327237,-0.4116046131,0.2618824542
-0.6516811167,-0.1451359084,-0.6562981821,-1.391708732,-0.2772603035,0.2592590749
-0.6875409501,-0.2617091547,-0.509612633,-1.406540155,-0.1993095726,0.2288244665
-0.6575292582,-0.2882210218,-0.2583499074,-1.402383447,-0.1714787781,0.1743354052
-0.4974129306,-0.2311789919,0.01367423202,-1.389485002,-0.193322286,0.1142518297
-0.3692150052,-0.1757686548,0.2788374362,-1.369091511,-0.2378230095,0.07001265883
-0.2296235791,-0.1538695422,0.5358140459,-1.331985116,-0.2844296694,0.05145841092
-0.1293704763,-0.1555053267,0.7315580788,-1.298012018,-0.3605339229,0.05028216913
-0.2157446914,-0.1407505329,0.7891136842,-1.282207727,-0.4472424686,0.07761472464
-0.4193529548,-0.06450140601,0.7653985352,-1.280335307,-0.5364067554,0.1318904757
-0.6342611954,-0.02737520592,0.678291768,-1.289046049,-0.5876105428,0.2012298703
-0.7620148841,0.03278232566,0.6374906788,-1.309928894,-0.6486845016,0.264950335
-0.8870166438,0.1259320263,0.4876137499,-1.349951982,-0.7194598913,0.3038955927
-1.098692478,0.2076888107,0.3465251075,-1.394868493,-0.7358105779,0.3207272291
-1.079552309,0.2478960257,0.1870183997,-1.436386704,-0.6953470707,0.3165641725
-0.9124684804,0.290034501,-0.05865099948,-1.463210821,-0.6322936416,0.2897764146
