x,y,z,x,y,z
-0.7907982033,-0.1244654608,1.515077815,-0.2983696163,0.9140822291,-0.2331620753
-0.9441917985,0.3939955184,1.952378515,-0.1837297678,0.8843646049,-0.3631069362
-0.2786626276,0.9573422259,2.404685645,-0.2333797067,0.3241971135,-0.4060868919
2.249108422,-0.02327332356,-0.07382511467,-0.4323835969,-0.6509435773,-0.5591888428
2.143388432,-0.5838757007,0.6304132878,0.06410942972,0.5345652103,-0.5449330807
1.546570978,-0.9291749928,-0.9591676877,0.5455908775,0.2984955013,-0.2700351775
0.4994501355,0.5895327036,-0.206800922,0.7805110812,-0.1160776541,-0.03839230537
1.017490844,0.8127046224,0.04655775304,0.5813644528,-0.07867118716,0.05321715027
0.8743491776,0.755403357,-0.1501437997,0.2888460457,0.05550175905,0.1601096839
0.4817632337,0.7434925545,-0.3808592658,0.0390169993,-0.1013271362,0.3526627719
1.487654386,1.008130164,-1.528354646,0.1835862696,-0.3072355986,0.5819659829
1.688719834,1.158733982,-1.835911944,0.5894306302,-0.3212120235,0.7307277322
1.222711364,1.376951201,-1.035215155,0.6491225362,-0.221952498,0.7222024202
0.8551039406,1.251440323,-0.1404535958,0.2560098767,0.111332655,0.6232991815
0.1378843299,1.60887312,0.3442740407,-0.1983733922,0.6203704476,0.6220340729
-0.3056327599,1.800970979,1.308712362,-0.848118186,0.7573959827,1.11357224
3.100235129,-1.655043336,1.761276682,-1.476878643,0.5874881148,2.013317585
0.7648366635,0.5674021203,0.6492664568,-1.542572856,0.2670692205,1.607092738
0.851949422,-0.5121089799,-0.9686381114,-0.9137362242,0.6077978611,0.952462554
0.5828107019,0.1302142336,-0.6774567785,-0.2933546305,0.7280131578,0.4959900379
0.4236969753,0.5599935976,-0.3960135803,-0.2250662446,0.3450690806,0.7495702505
0.5201287664,0.3600368425,0.3889823665,-0.4798621535,0.1674259901,1.156904221
0.2540445384,0.3537798279,0.9625801265,-0.9983353615,-0.202530697,1.044337153
-1.083499147,-0.2556985161,1.019296285,-1.360787988,-0.5817620754,0.8061336875
0.534155319,-0.222857446,0.1381003107,-1.30743444,-0.1923639476,0.9473505616
1.269060151,-0.4336421769,-0.2188806513,-0.933485806,0.07732844353,0.9678049684
0.7045617161,-0.4809028175,-0.03297872502,-0.555806756,0.128003493,0.6574136019
0.1227241701,-0.3723021575,0.2646066297,-0.4361642897,-0.1630897075,0.5135263205
-0.6835697815,0.3788575705,-0.00160860424,-0.4604754448,-0.198228851,0.4843453467
-0.4659044973,0.3007552169,-0.01490004749,-0.4959168434,-0.2918223739,0.495021373
-0.6508468579,0.5361386748,0.107547936,-0.5245435238,-0.322729826,0.5319787264
-0.9488242807,0.2676490662,-0.2561258016,-0.4998098612,-0.414126724,0.495247215
-1.281107585,0.3491501223,-0.4504828371,-0.4939596653,-0.5048553348,0.3940222263
-1.579819898,0.2124216845,-0.8884510605,-0.4898284078,-0.396463722,0.2995399535
-1.719825604,0.5197884285,-1.344036774,-0.4345787168,-0.06671085209,0.3145284653
-1.599813031,0.6253031051,-1.718742193,-0.3223386407,0.08564006537,0.3456223607
-1.60423377,0.6696402595,-1.911127052,-0.1790234149,-0.1061988026,0.2973259687
-1.460359552,0.6001143034,-1.836250967,-0.09235502779,-0.3278281689,0.2826814353
-1.379305363,0.557499735,-1.706304152,0.005835292861,-0.2272917777,0.3576093316
-1.2430216,0.500087995,-1.609824138,0.1205690503,-0.05260526389,0.4319267571
-1.238303486,0.3112570295,-1.05519762,0.1215997338,0.1618522108,0.4240404367
-1.240585752,0.05587590874,-0.5228671053,0.09482250363,0.1706415564,0.3422618806
-1.231337446,-0.09004705841,-0.3830044611,0.1291984916,0.09053059667,0.3326243758
-0.9450539683,-0.2109878523,-0.1421738438,0.1818121672,-0.000625946559,0.3737079203
-0.9470558097,-0.264014509,-0.05388765753,0.2036190331,-0.1741165966,0.310088098
-1.041053944,-0.3427732807,0.290368263,0.09550238401,-0.2956194878,0.1370785832
-0.9187716722,-0.3036433396,0.7967910139,-0.1981664002,-0.1473307908,0.006157652475
-0.8728448375,-0.07830342913,0.5478717827,-0.3868484795,0.1535176635,-0.07547207922
-0.7424060744,0.1438464531,-0.0819704272,-0.3880576491,0.3315483332,-0.08853391558
-0.5020614139,0.1274804247,-0.551832503,-0.254875809,0.1565357447,-0.06893610954
-0.3764565738,0.1571817355,-0.7644178536,-0.04887943715,-0.1930924505,-0.04103848711
-0.4759430762,0.1661903869,-0.6706278093,0.003013992682,-0.2328375876,0.01644350961
-0.559724133,0.09842150352,-0.2515980951,-0.08242185414,-0.03306517005,0.06534104794
-0.661860054,0.04976210203,-0.2941840219,-0.08972726017,0.06435931474,0.0831817314
-0.5889245086,0.03386310664,-0.418437009,-0.02989480644,-0.02845171839,0.1124635264
-0.4995820182,-0.09581307459,-0.3596381985,0.01542882156,-0.1738836765,0.1098904833
-0.6148723851,-0.09022913698,-0.2724023982,0.003949163016,-0.1969128251,0.05641966313
-0.6103814303,-0.0177227037,-0.2829208696,-0.04273147136,-0.08868872374,0.03271637857
-0.4812088147,0.08750438819,-0.4265700466,-0.04523069784,0.002094263677,0.02407664619
-0.3966018285,0.07416121475,-0.5544967538,0.01200260129,-0.04511453584,0.001308887266
-0.2999804332,0.05420768327,-0.3602145371,0.01797349378,-0.1360941827,-0.02456441522
-0.1500451616,0.03116670716,-0.1104974335,-0.005264902487,-0.1449448615,-0.01778470352
-0.09052578184,0.04155103079,-0.1631581796,0.0144959949,-0.09517589211,0.01362192631
-0.03239171891,-0.02379413256,-0.08901450049,0.04111093283,-0.1433668733,0.02716051042
-0.113195002,-0.08952829523,-0.02177519396,0.03476879001,-0.1973118037,-0.01308253873
-0.196797049,-0.1183522387,0.02260755313,-0.005372592248,-0.180157274,-0.06993625313
-0.1155810934,-0.1166451425,-0.0386766444,-0.01208668854,-0.1945841312,-0.1006885692
0.01656659246,-0.05292261189,-0.3628197512,0.07925647497,-0.2444317788,-0.07978695631
0.1681888307,0.1894192868,-0.388142993,0.101092197,-0.2239783257,-0.02554625645
0.209508062,0.1208867256,-0.2227326506,0.05539966375,-0.2126537859,-0.02246119827
0.2148500076,0.09733779994,-0.1726110676,0.00149726402,-0.1814243197,0.007956123911
0.1924703449,0.1332049399,-0.2571627435,0.009073516354,-0.1777172536,0.01090479456
0.01685980326,0.08281213872,-0.2548474523,-0.2638588548,0.1424849331,0.1195609868
-1.385415078,-0.222449742,0.6059364336,-0.6444113255,0.8375386,-0.09495232254
-0.9519068299,-0.7718044567,-0.7159013677,-0.1793985069,0.2728429437,-0.2346115559
0.005011471486,-0.4403662245,-1.437991069,0.1394717693,-0.2561175823,-0.1178457886
-0.01704348926,-0.6942202818,-0.3007785978,0.1588331759,-0.2919357121,-0.07533935457
-0.4534812152,-0.2286442127,0.4651555055,0.08644221723,-0.3321998417,-0.124130711
-0.08810454604,-0.05934650746,0.1497404796,0.06258009374,-0.3944796026,-0.06255486608
-0.03940948872,0.1185574058,0.1301198333,-0.04176341742,-0.1815639585,-0.01929019019
-0.376544179,0.1781412292,0.06427928769,-0.148391068,0.0166899506,-0.06677154452
-0.1476291135,0.1890481154,0.01713116754,-0.2443551868,0.06440965831,-0.06072312966
0.1138310349,0.1547685369,-0.005835282025,-0.3422942162,0.05264431238,-0.075750947
0.08320676406,0.07461246565,-0.06916413712,-0.5161547065,0.114277564,-0.03861875087
0.2865685784,0.0622474896,-0.07268178985,-0.3881158829,0.2629169226,-0.02393329889
0.4440632524,-0.4529930663,-0.4995721544,-0.3572638929,0.1129368842,0.1013414189
0.4473667509,-0.5792775593,-0.2213759753,-0.3088589311,-0.06480260193,0.1648319513
0.1958149792,-1.003766708,-0.04821896425,-0.4053962529,-0.4073520005,0.1146843731
-0.6021648061,-1.896562227,0.4546118997,-0.6227824688,-1.109262347,-0.06929053366
-0.3282119637,-0.3214658504,-0.3554354862,-0.6076527238,-0.9327843189,-0.09301011264
-0.8796452382,-0.4854176646,-0.4787520692,-0.3186576366,-0.5616794229,-0.271776408
-0.7065880343,-1.33986431,0.178856684,-0.4296978414,-0.6111847758,-0.4315503538
-0.8619440157,-0.7311265555,0.4139227464,-0.5006708503,-0.792042017,-0.5129852891
0.1248582596,-0.6297543855,-0.8132879752,-0.2372727394,-0.8046685457,-0.3692937791
0.8226718896,-0.05928206392,-1.179683247,-0.0001864088699,-0.9900440574,-0.2219815403
0.6688381494,0.2643064777,-0.8572171333,0.0615895018,-1.086446047,-0.1649527401
0.1970369222,0.4402607183,-1.094434821,0.2805809677,-0.6328811646,-0.09563762695
-0.5367891015,0.08086568083,-1.176751285,0.1722332984,-0.3596525788,-0.1879538
-0.7345619368,-0.2373695171,-0.7038748298,-0.01789281145,-0.3545288742,-0.3135639429
-0.4666140338,-0.778641317,-0.4819458968,-0.2281799465,-0.2911156714,-0.3380074501
-0.249733178,-0.8438403499,-0.1253694239,-0.3906742334,-0.253241241,-0.3339645267
-0.2658069454,-0.6554492371,0.6183832428,-0.6582576632,-0.1538868994,-0.320478946
-0.3974970968,-0.8982043927,0.3742003924,-0.7723782659,-0.3741129339,-0.3126314282
-0.4397727886,-0.31461993,-0.03144143245,-0.7607032061,-0.5785412788,-0.2938808799
-0.7535331792,-0.08609422913,-0.4552782547,-0.7159209847,-0.5671477318,-0.2395404428
-0.417737044,-0.1458809546,-0.5290227053,-0.6179366112,0.04978748783,-0.234421581
-0.3891305428,-0.4708583934,-0.5916168164,-0.4604678154,-0.09730438888,-0.4007436931
-1.21850456,0.09592384149,-0.4837988312,-0.3805087805,-0.3343891203,-0.4079043269
-1.448247382,0.109361123,-0.09866144976,-0.1762662083,-0.1768137217,-0.3196907938
-0.8016247177,-0.1856684098,0.2774181805,0.1519614607,0.7617892027,-0.4897450805
-0.5239712671,-0.7566440047,0.5004980371,0.4621026814,1.895633578,-0.801015377
-0.07941124424,-1.347883804,0.3762953188,0.4175531268,1.756530166,-0.6902287006
0.8954549479,-2.683564253,0.7203408115,-0.06036043912,0.8504549265,-0.2124270797
-0.4100540883,-1.319523387,1.516627383,-0.2414076626,0.246395722,0.08197236061
