accelerometer x,accelerometer y,accelerometer z,gyroscope x,gyroscope y,gyroscope z
0.00679411712,0.5461199706,0.4218903643,0.1527651548,0.0006136111915,-0.3544389904
-0.073944211,1.063528518,1.03819154,0.3228844404,0.156357944,-0.4373490512
-0.2652492385,0.8951800765,0.8146113328,0.4547607303,0.2675973773,-0.4985825717
-0.3716040923,0.7378416891,0.5776175171,0.5442982316,0.3176415265,-0.5560185313
-0.3585176701,0.7849108988,0.2439367667,0.5758710504,0.2763840854,-0.6448727846
-0.2749000602,1.006324576,-0.1998842744,0.5739049911,0.2239095867,-0.7077481747
-0.3861195244,0.9312243266,-0.3988590328,0.5453047752,0.179457441,-0.7446625233
-0.5369312865,0.7719368509,-0.4313046739,0.5091965199,0.152963534,-0.7748948336
-0.606998583,0.6528545444,-0.4016594772,0.4802599549,0.1606819034,-0.7974997759
-0.5600654208,0.6526803569,-0.1716869385,0.4800199866,0.193569541,-0.8340554833
-0.383315719,0.5707704277,0.009454057044,0.5186624527,0.1913998723,-0.8534345031
-0.3856099674,0.2869721908,-0.1525339097,0.5881947279,0.1942435801,-0.8601625562
-0.348528191,0.2332715803,-0.08593173205,0.6768150926,0.2156985402,-0.8802499771
-0.2255063531,0.2468073537,0.06582534809,0.7797430754,0.2429362088,-0.9125532508
-0.1620166083,0.2314449494,0.143542794,0.8761119843,0.2601173222,-0.9397472739
-0.1745150015,0.2118938612,0.1654775624,0.946511507,0.261569947,-0.9538837075
-0.1461485926,0.1597469098,0.1107867718,0.988381207,0.2831263542,-0.9639643431
-0.09180383895,0.09577917232,0.1358575002,1.004359126,0.3032848537,-0.9697652459
-0.09960092257,0.006944704571,0.0490028081,1.001403809,0.290499568,-0.9707112312
-0.1582058179,-0.05728314519,-0.1497679521,0.9937696457,0.2602449358,-0.9769300818
-0.1628600734,-0.03760755386,-0.2783779654,0.9810711741,0.2088730931,-0.9887164235
-0.1267928809,-0.02390752981,-0.3612286826,0.9756401181,0.1584845483,-1.00409627
-0.1120801727,-0.008254618126,-0.3794803786,0.9613195062,0.1077153757,-1.030852437
-0.07438377146,0.02616144622,-0.4124748857,0.9431544542,0.0648130253,-1.054338813
-0.07108882157,0.03143091105,-0.4150771772,0.9366204143,0.06857819855,-1.081724048
-0.0692671591,0.03107084557,-0.2943506106,0.9526416063,0.06133422628,-1.093683004
-0.1269832889,-0.0252665432,-0.2981149316,0.9899455309,0.02270027995,-1.113245249
-0.1499703428,0.007378419814,-0.4199620266,1.033627748,-0.08215146512,-1.126757503
-0.09913695832,0.05677051949,-0.5817798975,1.055330157,-0.2265637666,-1.129186869
-0.06645750851,0.05973287643,-0.7362655258,1.045816898,-0.3772671819,-1.123492122
-0.04259089523,0.06955518226,-0.7522410936,0.9823375344,-0.5384403467,-1.111036539
-0.04098872073,0.0402308881,-0.6955681892,0.8586906195,-0.6675627232,-1.077213526
-0.1036032901,-0.05480418786,-0.5545569595,0.6786692142,-0.7459637523,-1.016649008
-0.2639095874,-0.1659738215,-0.3977811745,0.4539205432,-0.7744132876,-0.9387547374
-0.466768786,-0.271384161,-0.3042237698,0.2559238374,-0.7320144176,-0.8678193092
-0.5207362307,-0.2942249384,-0.1589180578,0.1608537585,-0.6404117346,-0.8305712342
-0.4868409754,-0.1576391239,0.08951251314,0.1770199537,-0.581526041,-0.8256505132
-0.4063350678,-0.007472527838,0.1756008971,0.3007195294,-0.5139630437,-0.847332716
-0.3387105613,0.1506049875,0.2545394092,0.4947965741,-0.3967389464,-0.9098075628
-0.2887681343,0.4042547544,0.3712842127,1.107027173,-1.077622771,0.4757615626
1.023168451,-2.219053768,-0.7122229714,1.241839886,-1.242860675,0.3536846638
2.996781185,-7.353839499,-1.412021346,0.9179723263,-0.6160264015,0.07922568917
2.318475096,0.1189087035,0.2553419578,0.7179279327,-0.7060862184,-0.3002185822
0.866632758,1.631966996,-0.6589449702,0.6134560704,-0.6435447931,-0.6751614809
0.110528267,2.229947502,0.392387791,0.5697085857,-0.5705273151,-0.8333902359
-0.5569475079,2.100124606,0.6512830573,0.6606752872,-0.2992911637,-0.904848814
-0.9935577409,1.335380589,1.33278765,0.8039264679,-0.114743717,-0.9956719279
-0.9032923635,1.091105384,1.06935474,0.8174353242,0.03109779209,-1.194556475
-0.781986828,1.503749781,0.2176958255,0.7317502499,0.1544876397,-1.330675125
-1.183157937,1.58092596,-0.01594225002,0.7363069654,0.1164266765,-1.218015432
-1.499858619,0.3519002978,-0.005717793125,0.7731482983,0.02969897166,-0.9827202559
-1.232749651,-0.5845049386,0.2002741505,0.7734218836,0.007077725604,-0.7943906784
-0.4536930313,-0.6117442431,0.7896382196,0.7844930887,0.2597794831,-0.6567299962
-0.2225347899,-0.2698983064,2.458990066,0.7595866919,0.6756476164,-0.5608022213
-0.01310147364,-0.1444838743,3.877789528,0.5787658095,0.8066368103,-0.5283779502
0.3836334066,0.1693114415,3.251872967,0.1404637843,0.4229291379,-0.6325231791
0.9036170654,1.248787763,0.1386661279,-0.360327661,-0.02231542394,-0.7871186137
0.6948571184,1.638553388,-1.418783095,-0.7266536355,-0.3420054913,-0.8836959004
0.1388067054,1.295656481,-1.600962201,-0.8801204562,-0.5508862734,-0.9917187691
0.1612684203,0.7761457008,-1.589032109,-0.8351185918,-0.7321337461,-1.05918622
0.2766501187,0.1068009171,-1.554516092,-0.6855996847,-0.956129849,-1.117038488
0.3439107603,-0.2437164019,-1.660735994,-0.5119872093,-1.283437729,-1.195136309
0.4005521005,-0.07347849319,-2.118749811,-0.2883378863,-1.577653408,-1.257984281
0.1359443017,-0.1034720649,-2.130699192,0.02054190077,-1.661719322,-1.278737068
-0.3431429908,-0.3726280285,-1.50335406,0.4205441475,-1.507758856,-1.266659617
-0.5885460306,-0.7295265729,-0.4186906915,0.6700567603,-1.303696036,-1.260897398
-0.8248185463,-0.4432271669,-0.2360012975,1.034517765,-0.8262738585,-1.288587809
-0.9064718704,-0.3793617207,1.137949553,1.360126138,-0.4285149872,-1.338081717
-0.5354673514,-0.4146048835,2.237287928,1.478075624,-0.3520644307,-1.390510798
-0.5966930967,0.1359533618,1.086103046,1.320371628,-0.4034540355,-1.566261768
0.7142375261,0.8203349711,-0.01643558649,0.9904289246,-0.4968241751,-1.719337821
0.3951853127,1.039412606,-0.7266630002,0.6737950444,-0.3077243567,-1.735934734
-0.09825666835,0.730154934,0.1236696343,0.4072669446,-0.05468093231,-1.606801748
0.1437105518,0.0341238034,0.799237238,0.1893197596,0.2521292567,-1.330920458
0.6466112661,-0.90905195,1.504519012,0.01991261914,0.5379428864,-1.003005981
0.7746849806,-1.639991897,2.25281809,-0.1522165239,0.6886518002,-0.7097560763
0.8606915314,-1.557768956,1.825900253,-0.374420315,0.571259141,-0.5052982569
0.7310664959,-1.147159864,0.9279325915,-0.6833747625,0.2166814655,-0.3963653743
0.8153218191,-0.4229325668,-0.1617769544,-0.7103033066,0.4052039683,-0.5101060271
0.8856564613,-0.1420885036,-0.5509866998,-0.1384212971,0.4282721579,-0.6638131738
0.2624301625,-0.7081541146,-0.01774199292,0.4288591743,0.4271621406,-0.7881678343
0.05552461108,-0.1677536907,-0.205588039,0.7646604776,0.2528462112,-1.037545085
-0.6389157432,0.4849719667,-1.204877309,0.9365837574,0.3405308127,-1.305572271
-1.36280168,0.01098199726,-1.126879877,0.9881154895,0.5653658509,-1.609101653
-1.808148031,-0.8076362331,-0.3294663476,1.068568945,0.5770691037,-1.667510152
-0.59401774,0.332347456,-0.1531038186,1.016196847,0.1556497812,-1.592789412
-0.3574322129,1.128072887,-0.04110708641,0.7263797522,-0.1299649179,-1.333388448
-0.5657426627,1.307267424,-0.5968810205,0.3932105303,-0.06061805412,-1.133449793
-0.40816316,0.06398702674,0.4130249208,-0.02423677593,-0.09587565064,-0.9641057849
-0.5264689292,-0.3550321661,-0.270396319,-0.3329378963,-0.05221357942,-0.6749789715
-1.878236589,-0.7395850256,-0.4481552709,-0.4240499735,0.03390798718,-0.4858921766
-1.332846687,-0.9490291556,0.6837368817,-0.4469262064,0.01095743012,-0.479780823
-0.6844874078,-0.04241232379,0.8205804703,-0.4113948345,-0.03103316203,-0.5396414995
-0.1584866806,0.3266775937,1.399960321,-0.3564706445,-0.02591347508,-0.5440508127
-0.04055179062,0.5731950245,1.695450165,-0.3065478206,-0.07582590729,-0.4357890487
-0.242877613,0.5981704758,1.751567189,-0.2930150032,-0.130476892,-0.2876915336
-0.157428696,0.2083171717,1.248214347,-0.3310718238,-0.2377351671,-0.1164731756
-0.01103401971,-0.2931920882,0.6861287452,-0.4321214855,-0.4121325314,0.05629033968
0.2467319503,-0.7873556616,-0.09362228655,-0.5867749453,-0.642000854,0.2194768637
0.4864718498,-1.138721706,-0.7935708828,-0.7597064972,-0.8934815526,0.3369928896
0.6415671345,-1.293618838,-1.128482052,-0.8865280747,-1.131352901,0.4255296886
0.6992956853,-1.216384207,-1.149145485,-0.9521731138,-1.200718164,0.4584164619
0.8134837901,-1.197158113,-0.9357306981,-0.9842681885,-1.291381121,0.3250855803
0.9510334811,-1.214872634,-0.5395183804,-1.094523668,-1.287286878,0.08527348191
0.9592302316,-1.015235612,-0.4191016104,-1.182473779,-1.172587752,-0.08285533637
0.8610936825,-0.5178817181,-0.1619961501,-1.101816535,-1.040940166,-0.1088200286
0.5440858344,-0.1749988395,0.1592237628,-0.87746346,-1.053354502,-0.1451106668
