accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
0.1,-0.76,-0.47,-0.045,-0.373,-0.783
0.0,-0.65,-0.84,-0.044,-0.388,-0.729
-0.05,-0.53,-1.45,-0.055,-0.404,-0.712
-0.01,-0.41,-1.8,-0.065,-0.426,-0.726
0.13,-0.24,-1.77,-0.064,-0.451,-0.731
0.22,0.01,-1.62,-0.062,-0.462,-0.758
0.21,0.24,-1.64,-0.047,-0.459,-0.806
0.29,0.27,-1.11,0.007,-0.482,-0.799
-0.01,0.4,-0.96,0.038,-0.485,-0.794
-0.39,0.64,-1.12,0.04,-0.464,-0.799
-0.46,0.56,-1.08,0.023,-0.426,-0.794
-0.34,0.33,-1.13,-0.002,-0.396,-0.8
-0.09,-0.02,-1.15,-0.024,-0.388,-0.832
0.09,-0.07,-1.05,-0.07,-0.355,-0.843
0.43,-0.29,-0.66,-0.05,-0.391,-0.825
0.56,-0.29,-0.95,-0.041,-0.396,-0.86
0.21,0.13,-0.71,-0.075,-0.334,-0.848
0.31,-0.25,-0.63,-0.11,-0.293,-0.828
0.68,-0.81,-0.79,-0.142,-0.269,-0.822
0.88,-1.09,-0.94,-0.132,-0.322,-0.747
1.08,-1.0,-1.24,-0.077,-0.417,-0.67
0.53,-0.09,-2.22,-0.107,-0.429,-0.668
0.11,0.68,-2.58,-0.205,-0.336,-0.69
0.84,0.19,-2.48,-0.199,-0.295,-0.741
0.92,-0.44,-2.14,-0.195,-0.251,-0.827
0.49,-0.68,-1.44,-0.183,-0.221,-0.874
-0.02,-1.04,-0.6,-0.217,-0.227,-0.849
-0.39,-1.04,-0.51,-0.285,-0.239,-0.799
-0.21,-0.83,-0.8,-0.35,-0.244,-0.757
0.08,-0.62,-1.3,-0.431,-0.254,-0.804
0.51,-0.41,-1.22,-0.458,-0.243,-0.872
0.86,-0.19,-0.49,-0.438,-0.197,-0.92
0.5,-0.34,0.16,-0.414,-0.155,-0.949
0.03,-0.67,0.64,-0.388,-0.145,-0.932
-0.52,-0.84,0.82,-0.386,-0.177,-0.902
-0.83,-0.64,0.58,-0.434,-0.212,-0.893
-0.87,-0.17,0.48,-0.556,-0.219,-0.93
-0.08,0.16,0.54,-0.661,-0.162,-0.991
1.12,-0.01,1.27,-0.669,-0.119,-0.987
1.61,-0.51,1.45,-0.648,-0.105,-1.031
1.49,-0.66,1.58,-0.595,-0.112,-1.073
1.07,-0.58,2.11,-0.561,-0.102,-1.067
0.59,-0.52,2.27,-0.523,-0.113,-1.05
0.21,-0.62,2.18,-0.508,-0.191,-0.996
-0.25,-0.05,1.93,-0.562,-0.222,-0.893
-0.06,0.56,1.14,-0.631,-0.199,-0.844
0.52,0.66,0.28,-0.665,-0.175,-0.881
1.06,0.35,0.28,-0.67,-0.169,-0.947
1.2,0.33,0.9,-0.642,-0.145,-0.983
1.06,0.26,1.41,-0.594,-0.132,-0.988
0.63,0.06,1.63,-0.558,-0.128,-0.963
0.15,0.05,1.54,-0.54,-0.137,-0.92
-0.17,0.0,1.24,-0.537,-0.166,-0.863
-0.39,0.26,0.83,-0.531,-0.192,-0.808
-0.52,0.51,0.33,-0.526,-0.184,-0.773
-0.75,0.63,0.0,-0.56,-0.161,-0.762
-0.78,0.4,-0.14,-0.6,-0.147,-0.778
-0.47,0.21,0.03,-0.596,-0.145,-0.79
-0.43,0.09,0.34,-0.575,-0.141,-0.773
-0.76,0.07,0.47,-0.562,-0.127,-0.742
-1.1,-0.08,0.36,-0.542,-0.121,-0.721
-1.41,-0.25,0.27,-0.544,-0.134,-0.695
-1.78,-0.26,0.3,-0.581,-0.159,-0.627
-1.73,-0.14,0.1,-0.628,-0.174,-0.55
-1.55,0.06,-0.46,-0.688,-0.177,-0.511
