accelerometer.x,accelerometer.y,accelerometer.z,gyor.x,gyor.y,gyor.z
0.240186255,0.4086725708,0.128266899,-0.1456529498,0.2982515395,0.3151916564
0.281279459,0.5192366398,0.1230377661,-0.232268557,0.3402624726,0.3810633421
0.3554636163,0.5147904741,-0.04061842611,-0.2718777657,0.3676517308,0.4458324909
0.3413017469,0.5413955724,-0.1511953546,-0.2616952956,0.363222599,0.5092009902
0.307577245,0.5724009515,-0.2389677461,-0.2146521658,0.3498303592,0.5656863451
0.1891288525,0.5559443222,-0.2546539755,-0.1533684134,0.3049558699,0.5992537141
0.0860837808,0.4963514388,-0.167668935,-0.08401864022,0.2597577572,0.6092799902
0.01913110919,0.4707403199,-0.007117723051,-0.02512520738,0.2027415484,0.6101301312
-0.009677709732,0.4152005113,0.1881131726,0.0235930644,0.1432260275,0.6038373113
-0.07854483667,0.2677554491,0.3522615323,0.03197776154,0.1059087366,0.5836116672
-0.1588588019,0.1270318042,0.5358528436,0.008277491666,0.07250284404,0.5574101806
-0.1865896163,0.06477145512,0.6785059953,-0.02417048439,0.03290676698,0.5374745131
-0.1887705406,0.01918254711,0.6770330001,-0.05491721258,0.01494960301,0.5164081454
-0.2178483857,-0.02200812593,0.5560276166,-0.0789834708,0.01818583347,0.5009052157
-0.22275099,-0.001715864007,0.4668284072,-0.09846661985,0.08040659875,0.4776973426
-0.2631467863,0.1598705362,0.3177583742,-0.1043192297,0.1846249998,0.4518727064
-0.1706809032,0.1831315848,0.4743932895,-0.1177969575,0.2140260339,0.4706389308
0.1231490445,0.1816550825,0.7017799034,-0.1330233067,0.2322361767,0.525047183
0.3841050427,0.1971273769,0.8824608802,-0.1513463855,0.2411055565,0.5984423161
0.5969978518,0.2251107779,1.092467905,-0.1733603925,0.2075901031,0.6964569092
0.7745086742,0.1812038316,1.266902681,-0.2014735192,0.1555540711,0.8011694551
0.8414360652,0.1696808594,1.357250476,-0.23835738,0.08541217446,0.911912024
0.9033776307,0.1063344686,1.415666424,-0.2658332288,-0.03715421632,1.038371682
0.9628519292,0.2179877941,0.4561521149,-0.2091788501,-0.1445247531,1.142626762
0.1175347117,0.3383189317,-0.2840373064,-0.04812844843,0.06445002556,1.106132984
-1.077573849,0.01985854668,-1.964999512,0.09884215891,0.01646043546,1.038319707
-0.7431110078,-0.3036167439,-0.98348789,0.1937710792,-0.06162371114,0.95827806
-0.6161620596,-0.2010822521,-0.5399783991,0.2337151766,-0.0475961864,0.880053103
-0.4590727516,-0.1874786741,-0.3731827398,0.2326030284,-0.02502563037,0.8395879865
-0.3220423351,-0.0824710702,-0.171540808,0.2083781958,0.03561215475,0.8315212131
-0.4246924161,-0.02176028865,-0.3330108884,0.2139484584,0.2060536742,0.8290330172
-0.6801323544,-0.05037964941,-0.7974123607,0.2523940504,0.4168900251,0.8198871017
-1.1675428,-0.09205781371,-1.032476085,0.310624063,0.5511503816,0.8058426976
-1.30016899,-0.1958934512,-0.8364566694,0.3449128866,0.5909728408,0.8249160051
-0.6782130037,-0.09426263028,-0.1346948862,0.339027822,0.5812682509,0.9026856422
0.07493417189,0.03964285908,0.6679056908,0.2804359794,0.5107858777,1.06358254
0.7968606451,0.03285042246,1.426110077,0.2037856728,0.405148387,1.273044109
1.199950886,-0.1275423841,1.630238565,0.1453780383,0.3091205955,1.508090377
1.240799394,-0.3577297346,1.360664083,0.1395736784,0.279430896,1.676834583
0.3018492958,-0.6868310483,0.7118161442,0.1688748002,0.3057460189,1.698053241
-0.8934197157,-0.8193979825,0.6738578772,0.2116001546,0.1461169124,1.581172466
-1.527880598,-0.9174027219,0.03143617175,0.3336945176,-0.03350596875,1.412371159
