accelerometer x,y,z,gyro x,y,z
-0.008702763752,0.1185556523,-0.3669786244,0.03096747771,-0.07027670741,-0.03180324659
-0.08403788112,0.1158062074,-0.1487783566,-0.01007156726,-0.008380314335,-0.0276196897
-0.1186855623,0.06776347654,-0.02755845353,-0.04853658378,0.0535678044,-0.02934379503
-0.1081583961,-0.007128536706,0.06254793385,-0.08995752782,0.1063756198,-0.04652730748
-0.08998206688,-0.05624912597,0.1164122105,-0.1277912855,0.1200413108,-0.06111026928
-0.02721522959,-0.09593436288,0.1316898591,-0.1493008286,0.1217875406,-0.07349104434
0.0407077849,-0.1301873456,0.1297270346,-0.1541623324,0.125802055,-0.08311780542
0.1044030256,-0.1457452725,0.1391466049,-0.1572729051,0.1157600656,-0.08361662179
0.2225608377,-0.174971367,0.2209352458,-0.1615807861,0.08083882183,-0.08007825911
0.3181911396,-0.2621511263,0.1980009449,-0.1777765304,0.01875414327,-0.08994953334
0.3119910794,-0.344863531,-0.05233166026,-0.1823121905,-0.03723454848,-0.106841214
0.2565453787,-0.3295804755,-0.343683089,-0.1637584716,-0.03130208701,-0.1193596646
0.2866842042,-0.2756808353,-0.5650210704,-0.1411717683,0.02432951331,-0.1199627221
0.4171178892,-0.1879122432,-0.6234966402,-0.1223456115,0.0837771222,-0.1053875089
0.5870382564,-0.1262080667,-0.5415040012,-0.1077057198,0.1431144923,-0.07213451713
0.7734525162,-0.1040717113,-0.3297475027,-0.09587915242,0.1858206838,-0.03148749471
0.8938470743,-0.09571662848,-0.05920505316,-0.08197523654,0.199225679,0.006117526442
1.041000314,-0.1206838965,0.2529302205,-0.0685358569,0.1695870906,0.04504628479
1.174545884,-0.1773812777,0.5175882881,-0.06920395046,0.1195431575,0.07126938552
1.320249655,-0.3175775377,0.5840075104,-0.07894340158,0.07820609957,0.08375295252
1.287793493,-0.3618363662,0.4936719905,-0.08997195959,0.09054705501,0.1037940383
1.265719608,-0.2587017165,0.4660708668,-0.09448575228,0.1366162747,0.129753992
1.336757869,-0.2489154319,0.4319792121,-0.09570430219,0.1626378894,0.1606005579
1.439975667,-0.3113156278,0.4300362614,-0.08824133128,0.1735517979,0.1920343786
1.511656609,-0.3571995732,0.4530658393,-0.07672791928,0.1720177233,0.2309755385
1.533469212,-0.3648274378,0.5029419231,-0.06553705037,0.1450638771,0.2692954838
1.546253875,-0.4303967652,0.5594365483,-0.04806277156,0.09375666082,0.3113670349
1.488548413,-0.5196833607,0.6022007542,-0.04609842226,0.02816860005,0.3436762393
1.366908677,-0.6719143419,0.5516133073,-0.06010331213,-0.05020197108,0.3558778167
1.08155342,-0.7890399614,0.3632604807,-0.09449511021,-0.1213863939,0.3556144238
0.7882892892,-0.8447915131,0.09320786053,-0.1345974058,-0.1544038653,0.3494012356
0.5172615769,-0.851191078,-0.1788239508,-0.181416586,-0.1560121477,0.3391683102
0.3220160682,-0.9092383394,-0.4269458941,-0.2271821052,-0.1415397674,0.3271770179
0.2125765097,-1.010867918,-0.7110814002,-0.2592609525,-0.1109381765,0.311468631
0.1588025417,-1.07271786,-1.03008013,-0.2513661683,-0.06857637316,0.2923331261
0.09326507061,-1.126999193,-1.392123636,-0.2006593347,-0.02364511415,0.2602699995
0.03120247259,-1.137501298,-1.782803454,-0.09287850559,0.05527223647,0.2390639186
0.03844846166,-1.112385634,-1.975713213,0.05111381784,0.1617869586,0.2307444811
0.1617461939,-1.077591896,-1.858226651,0.1902258694,0.2422611266,0.2408310622
0.2964818505,-1.073021884,-1.389880825,0.2883369923,0.2746883035,0.2514618635
0.3862006268,-1.120009553,-0.855353093,0.3515325487,0.2726186514,0.2678053677
0.4119466241,-1.224804099,-0.3614928865,0.3693490922,0.2580476999,0.2771799564
0.3188243229,-1.375097975,0.06093056178,0.3565265238,0.2216671407,0.2605271339
0.2222689055,-1.497390768,0.3058493252,0.3381278217,0.1850313693,0.2393861413
0.1523709742,-1.540778366,0.4231038318,0.3169369996,0.1608258188,0.2221422344
0.07052446569,-1.549812883,0.4860159227,0.2992517352,0.1313302517,0.2088517249
0.02934175675,-1.583114118,0.5370791705,0.2886623442,0.09302977473,0.1984444261
-0.01067841121,-1.635182597,0.5274474188,0.2832933962,0.04100732133,0.1779002696
-0.101797775,-1.687017998,0.4920522803,0.2840512991,-0.00749068521,0.1548420042
-0.232035901,-1.725587675,0.4044967464,0.2879783809,-0.04902081564,0.1218172088
-0.389351492,-1.787861468,0.3086398327,0.295881331,-0.0846773535,0.07878855616
-0.4700763031,-1.8072353,0.2885018846,0.3048346341,-0.1108690128,0.03554787859
-0.4826517801,-1.786189882,0.3535603399,0.2982370555,-0.1390999109,0.0003501443716
-0.4646656031,-1.754902617,0.4389788618,0.2698411047,-0.1634214967,-0.03044931218
-0.432460639,-1.712912756,0.5256915151,0.2291970253,-0.1850041896,-0.0537863858
-0.4132219778,-1.671446627,0.6070651454,0.1817482859,-0.1962741613,-0.07746481895
-0.3606331279,-1.60567564,0.6389607514,0.1391608864,-0.2011699378,-0.09189958125
-0.3725908748,-1.502983911,0.6493535506,0.09231321514,-0.2013795227,-0.1083824188
-0.3076024525,-1.373579971,0.6924883434,0.05253322423,-0.1888808608,-0.1138283461
-0.2161537837,-1.222231326,0.6724000796,0.02699271031,-0.1651670039,-0.1154645905
-0.1073694742,-1.079697855,0.6996452294,0.01888172328,-0.1319151968,-0.1116449907
-0.01016520099,-0.937061216,0.8117004138,0.03020974621,-0.1113832816,-0.09836247563
0.08118837344,-0.8129225029,0.9531652325,0.05633236468,-0.1107379794,-0.08188052475
0.1860057886,-0.7322175656,1.173442891,0.0835051313,-0.1398673803,-0.06223411486
